rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state,school_type,school_level,average_act
-1.5606614375983041,-3.0066710486865817,-2.8809992538305758,29997.834110027336,-1.2616479279778638,IN,Regular School,High,19.4249084249084
-1.6575629091991309,-2.517455042082253,-2.4558158973788466,155882.83411002732,-1.6807344046965444,MA,Regular School,High,26.2087912087912
-1.6232656709044306,-2.674153786138512,-2.637545724120063,60540.83411002733,-1.4083791539713908,IL,Regular School,High,20.4
-1.5810934084172972,-2.768424101301457,-3.0543134008877395,30991.834110027336,-1.3454265620126689,NC,Regular School,High,22.2283272283272
-1.6325901517094938,-2.8370452368566608,-2.6253999004006348,60485.83411002733,-1.6123543965601677,MI,Regular School,High,20.0
-1.6307154892192905,-2.718664321001216,-2.4108353616634854,119247.83411002734,-1.7172544589580139,NJ,Regular School,High,24.5726495726496
-1.6503259610514673,-2.643723127489226,-2.5247138914160256,110662.83411002734,-1.6376510740747368,PA,Regular School,High,23.3516483516484
-1.5779387824463542,-2.928232349231301,-2.6621233086976477,52120.83411002733,-1.3556916111829547,OH,Regular School,High,20.0
-1.5572936669697082,-2.886295378003339,-2.9712694381284748,34191.83411002733,-1.4480029684233329,NC,Regular School,High,21.9352869352869
-1.6208306059693658,-2.98491639271743,-2.7770245892040237,46329.83411002733,-1.5425264660536118,PA,Regular School,High,22.5946275946276
-1.6431027819097506,-2.7534685754403188,-2.7995211171480876,44359.83411002733,-1.6293460260700938,FL,Regular School,High,23.4981684981685
-1.6608313437119406,-2.612639710207613,-2.4998135148089067,80920.83411002734,-0.9296593111595258,MA,Regular School,High,15.1709401709402
-1.6159905706584163,-3.058142824522874,-2.5199336754900505,53362.83411002733,-1.4662150187138647,PA,Regular School,High,20.3724053724054
-1.5931225416759351,-2.826709698383075,-3.0663444254187646,36754.83411002733,-0.9834449279703528,MI,Regular School,High,15.6
-1.5663897124927022,-2.910536742745556,-2.562860409434749,48053.83411002733,-1.4185436638209679,NC,Regular School,High,19.6398046398046
-1.5778794568235261,-3.045015662005115,-2.632121925821406,31821.834110027336,-1.2765975141946737,OH,Regular School,High,22.0
-1.6118027606583345,-2.889713895820688,-2.785657612231951,33770.83411002733,-1.3678834270969809,TX,Regular School,High,21.8376068376068
-1.5527852254239851,-3.173466175465093,-3.11455871113305,19795.834110027336,-1.1049100406489178,NC,Regular School,High,18.1013431013431
-1.609073092467869,-2.9027781830269,-2.81701357334401,47583.83411002733,-0.9948176822002498,TN,Regular School,High,15.8
-1.6410000916560927,-3.0784102776669178,-2.663750734512799,45108.83411002733,-1.2605629241536698,KY,Regular School,High,18.4
-1.6431300992833517,-2.821267642432742,-2.6769503131412655,47636.83411002733,-1.3134759008584678,IL,Regular School,High,18.9
-1.669023938061003,-2.8460323927106277,-2.755563502279551,63374.83411002733,-1.5579424886159468,MO,Regular School,High,21.8
-1.558131909317181,-2.818820967807306,-3.1749741920664585,47622.83411002733,-0.7476168274993947,NY,Regular School,High,16.7826617826618
